rsuIP,ode_timeStamp,Msgcount,TemporaryID,DSecond,Lat,Lon,Elevation,Speed,Heading
10.11.81.22,2022-10-27 12:52:00.108899,34,786BDA84,16,39.595213,-105.0912792,1679.4,21.34,0.3
10.11.81.22,2022-10-27 12:52:00.189447,35,786BDA84,16,39.595213,-105.0912792,1679.4,21.34,0.3
10.11.81.22,2022-10-27 12:52:00.289257,36,786BDA84,118,39.5952326,-105.0912791,1679.5,21.32,0.2
10.11.81.22,2022-10-27 12:52:00.383746,37,786BDA84,216,39.5952515,-105.0912792,1679.5,21.38,359.9
10.11.81.22,2022-10-27 12:52:00.489339,38,786BDA84,317,39.595271,-105.091279,1679.6,21.38,0.3
10.11.81.22,2022-10-27 12:52:00.590928,39,786BDA84,417,39.5952903,-105.091279,1679.7,21.4,0.1
10.11.81.22,2022-10-27 12:52:00.684599,40,786BDA84,518,39.5953097,-105.0912789,1679.7,21.38,0.1
10.11.81.22,2022-10-27 12:52:00.799808,41,786BDA84,617,39.5953288,-105.0912787,1679.8,21.4,0.3
10.11.81.22,2022-10-27 12:52:00.890219,42,786BDA84,717,39.595348,-105.0912788,1679.9,21.38,0.1
10.11.81.22,2022-10-27 12:52:00.890527,43,786BDA84,817,39.5953672,-105.0912787,1679.9,21.34,0.1
10.11.81.22,2022-10-27 12:52:00.984454,44,786BDA84,918,39.5953867,-105.0912787,1680.0,21.4,0.1
10.11.81.22,2022-10-27 12:52:01.089281,45,786BDA84,1016,39.5954056,-105.0912788,1680.1,21.34,0.1
10.11.81.22,2022-10-27 12:52:01.184454,46,786BDA84,1117,39.595425,-105.0912787,1680.1,21.34,0.2
10.11.81.22,2022-10-27 12:52:01.292130,47,786BDA84,1216,39.595444,-105.0912787,1680.2,21.32,0.1
10.11.81.22,2022-10-27 12:52:01.400470,48,786BDA84,1317,39.5954633,-105.0912784,1680.3,21.24,0.4
10.11.81.22,2022-10-27 12:52:01.589528,49,786BDA84,1417,39.5954827,-105.0912785,1680.3,21.42,0.1
