rsuIP,ode_timeStamp,MinuteOfTheYear,DSecond,MsgCount,IntersectionID,RequestID,PriorityRequestType,LaneID,ApproachID,LaneConnectionID,TemporaryID,StationID,Lat,Lon,Heading,Velocity
10.11.81.22,2022-10-27 12:51:38.881199,431691,0,1,12110,7,priorityRequest,9,,,,1780166822,39.5909488,-105.0912158,356.5,22.3
10.11.81.22,2022-10-27 12:51:39.886269,431691,0,2,12110,7,priorityRequest,9,,,,1780166822,39.5911498,-105.0912299,357.0,22.38
10.11.81.22,2022-10-27 12:51:40.875645,431691,0,3,12110,7,priorityRequest,9,,,,1780166822,39.5913522,-105.0912432,357.1,22.56
10.11.81.22,2022-10-27 12:51:41.878175,431691,0,4,12110,7,priorityRequest,9,,,,1780166822,39.5915543,-105.0912556,357.4,22.58
10.11.81.22,2022-10-27 12:51:42.881281,431691,0,5,12110,7,priorityRequest,9,,,,1780166822,39.5917582,-105.0912666,358.0,22.62
10.11.81.22,2022-10-27 12:51:43.880311,431691,0,6,12110,7,priorityRequest,9,,,,1780166822,39.5919614,-105.0912742,358.7,22.58
10.11.81.22,2022-10-27 12:52:01.998757,431692,0,28,12111,8,priorityRequest,2,,,,1780166822,39.5955788,-105.0912784,0.1,21.32
10.11.81.22,2022-10-27 12:52:03.001857,431692,0,29,12111,8,priorityRequest,2,,,,1780166822,39.5957713,-105.0912783,0.1,21.34
10.11.81.22,2022-10-27 12:52:04.005121,431692,0,30,12111,8,priorityRequest,2,,,,1780166822,39.5959631,-105.0912775,0.3,21.26
10.11.81.22,2022-10-27 12:52:05.004970,431692,0,31,12111,8,priorityRequest,2,,,,1780166822,39.5961538,-105.0912765,0.2,21.06
10.11.81.22,2022-10-27 12:52:06.007955,431692,0,32,12111,8,priorityRequest,2,,,,1780166822,39.5963443,-105.0912755,0.4,21.02
10.11.81.22,2022-10-27 12:52:06.995255,431692,0,33,12111,8,priorityRequest,2,,,,1780166822,39.5965343,-105.0912746,0.0,21.08
10.11.81.22,2022-10-27 12:52:07.997246,431692,0,34,12111,8,priorityRequest,2,,,,1780166822,39.5967244,-105.0912735,0.4,21.1
10.11.81.22,2022-10-27 12:52:09.002939,431692,0,35,12111,8,priorityRequest,2,,,,1780166822,39.5969152,-105.0912731,0.0,21.18
10.11.81.22,2022-10-27 12:52:09.994333,431692,0,36,12111,8,priorityRequest,2,,,,1780166822,39.5971068,-105.091273,0.2,21.28
10.11.81.22,2022-10-27 12:52:11.008347,431692,0,37,12111,8,priorityRequest,2,,,,1780166822,39.5972994,-105.0912729,359.9,21.4
10.11.81.22,2022-10-27 12:52:12.006617,431692,0,38,12111,8,priorityRequest,2,,,,1780166822,39.5974933,-105.0912742,359.4,21.54
10.11.81.22,2022-10-27 12:52:13.000038,431692,0,39,12111,8,priorityRequest,2,,,,1780166822,39.5976871,-105.0912741,0.1,21.58
10.11.81.22,2022-10-27 12:52:14.010184,431692,0,40,12111,8,priorityRequest,2,,,,1780166822,39.5978799,-105.091273,0.3,21.5
10.11.81.22,2022-10-27 12:52:15.005060,431692,0,41,12111,8,priorityRequest,2,,,,1780166822,39.5980741,-105.0912718,0.3,21.66
10.11.81.22,2022-10-27 12:52:15.998461,431692,0,42,12111,8,priorityRequest,2,,,,1780166822,39.5982699,-105.0912708,0.1,21.8
10.11.81.22,2022-10-27 12:52:16.996283,431692,0,43,12111,8,priorityRequest,2,,,,1780166822,39.5984678,-105.0912693,0.3,22.14
10.11.81.22,2022-10-27 12:52:18.001736,431692,0,44,12111,8,priorityRequest,2,,,,1780166822,39.5986683,-105.091268,0.3,22.48
10.11.81.22,2022-10-27 12:52:19.007742,431692,0,45,12111,8,priorityRequest,2,,,,1780166822,39.5988708,-105.0912668,0.1,22.68
10.11.81.22,2022-10-27 12:52:20.009345,431692,0,46,12111,8,priorityRequest,2,,,,1780166822,39.5990758,-105.0912659,0.1,22.86
10.11.81.22,2022-10-27 12:52:20.312032,431692,0,48,12111,8,priorityCancellation,2,,,,1780166822,39.5991376,-105.0912652,0.5,22.82
10.11.81.22,2022-10-27 12:52:21.315682,431692,0,49,12111,8,priorityCancellation,2,,,,1780166822,39.5993443,-105.0912633,0.4,22.96
10.11.81.22,2022-10-27 12:52:31.333704,431692,0,1,12108,9,priorityRequest,1,,,,1780166822,39.6013994,-105.0912564,0.3,22.0
